City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
188,Aklavik,CA,41.83,fog,68.2191,-135.0107,Aklavik Inn
189,Kulary,RU,73.35,broken clouds,43.2397,45.5042,Мотель
190,Anadyr,RU,36.1,light rain,64.75,177.4833,"Гостиница ""Анадырь"""
191,Dwarka,IN,81.95,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
192,San Angelo,US,85.64,clear sky,31.4638,-100.437,"Motel 6 San Angelo, TX"
193,Shimoda,JP,71.62,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
194,Mehtar Lam,AF,82.65,clear sky,34.6714,70.2094,Fareed Hakamani
195,Lesozavodsk,RU,54.45,overcast clouds,45.4794,133.4244,Hotel Chelyuskina
197,Blackwater,AU,57.9,clear sky,-23.5833,148.8833,Blackwater Motor Inn
198,Yulara,AU,82.24,broken clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
199,Nanortalik,GL,37.53,overcast clouds,60.1432,-45.2371,Hotel Kap Farvel
200,Nuuk,GL,38.01,broken clouds,64.1835,-51.7216,Vandrehuset
201,Borovskoy,KZ,45.79,few clouds,53.8,64.15,Аренда жилья/Баня
202,Jutai,BR,97.47,scattered clouds,-5.1833,-68.9,
203,Samarai,PG,77.23,overcast clouds,-10.6167,150.6667,Nuli Sapi
204,Ishigaki,JP,82.51,clear sky,24.3448,124.1572,Hotel Peace Land Ishigakijima
205,Hobyo,SO,78.28,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
206,Castro,BR,59.34,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
207,Tateyama,JP,69.82,broken clouds,34.9833,139.8667,Tateyama Seaside Hotel
208,Hibbing,US,71.06,clear sky,47.4272,-92.9377,Americas Best Value Inn Hibbing
209,Plettenberg Bay,ZA,52.92,scattered clouds,-34.0527,23.3716,Thanda Vista B&B
210,Thaba Nchu,ZA,58.78,clear sky,-29.2093,26.839,Real Time Guest House
211,Tiksi,RU,41.31,overcast clouds,71.6872,128.8694,Arktika
212,Ucluelet,CA,52.11,scattered clouds,48.9329,-125.5528,Black Rock Oceanfront Resort
213,Bikaner,IN,92.07,clear sky,28.0167,73.3,Karina Guest House
214,Loralai,PK,80.67,clear sky,30.3705,68.598,Sana Poultry Loralai
215,Conde,BR,85.46,scattered clouds,-7.2597,-34.9075,Pousada Beija Flor
216,Dondo,MZ,76.51,clear sky,-19.6094,34.7431,Arco Iris
217,Shenjiamen,CN,75.24,overcast clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
218,Tazovskiy,RU,38.95,overcast clouds,67.4667,78.7,TazHostel
219,Ust-Kuyga,RU,43.02,light rain,70.0167,135.6,
220,Bentiu,SS,76.26,light rain,9.2333,29.8333,Mandela hôtel
221,Ouadda,CF,71.6,light rain,8.0777,22.4007,
222,Coupar Angus,GB,66.33,few clouds,56.5455,-3.2677,Easter Bendochy House
223,Presidencia Roque Saenz Pena,AR,68.95,broken clouds,-26.7852,-60.4388,Hotel Gualok
224,Morristown,US,81.75,scattered clouds,36.214,-83.2949,Days Inn by Wyndham Morristown
225,Jacareacanga,BR,101.01,few clouds,-6.2222,-57.7528,Casa do Ian😎
226,Namibe,AO,63.99,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
227,Muisne,EC,82.51,overcast clouds,0.6,-80.0333,Quinta Samay
228,Strezhevoy,RU,51.78,overcast clouds,60.7333,77.5889,Sibiryachka
229,Cayenne,GF,91.44,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
230,Jiwani,PK,82.15,clear sky,25.05,61.7417,Al Mumtaz Transport Jiwani
231,Okhotsk,RU,49.35,overcast clouds,59.3833,143.3,
232,Kurilsk,RU,49.51,overcast clouds,45.2333,147.8833,Hotel Ostrov
233,Caceres,ES,82.8,clear sky,39.522,-6.3748,Ahc Hoteles
234,Cairns,AU,64.35,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
235,Necochea,AR,66.34,clear sky,-38.5473,-58.7368,dyd -mar Hotel
236,Acari,PE,73.06,broken clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
237,Berlevag,NO,41.0,clear sky,70.8578,29.0864,Kvitbrakka
238,Leningradskiy,RU,22.48,broken clouds,69.3833,178.4167,Gostinitsa
239,Bati,ET,74.17,overcast clouds,11.1833,40.0167,Adi 01 Kebele
240,Bela Vista,BR,95.02,broken clouds,-22.1089,-56.5211,Bella Vista Palace Hotel
241,San Felipe,VE,94.01,broken clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
242,Vila Franca Do Campo,PT,73.81,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
243,Lacolle,CA,73.92,broken clouds,45.0834,-73.3659,Motel Lacolle
244,Kaohsiung,TW,84.15,scattered clouds,22.6163,120.3133,御宿商旅-中山館
245,Ust-Kut,RU,38.79,overcast clouds,56.7938,105.7672,Otel Flagman
247,Ancud,CL,53.42,light rain,-41.8697,-73.8203,Hotel Arena Gruesa
248,Constitucion,CL,60.85,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
249,Ko Samui,TH,82.29,overcast clouds,9.5357,99.9357,The Passage
250,Haines Junction,CA,40.95,overcast clouds,60.7522,-137.5108,Parkside Inn
251,Lakewood,US,88.43,clear sky,39.7047,-105.0814,Sheraton Denver West Hotel
252,Fairbanks,US,42.3,scattered clouds,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
253,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
254,Hamamatsu,JP,74.01,overcast clouds,34.7,137.7333,Hotel Crown Palais Hamamatsu
255,Campeche,MX,97.97,scattered clouds,19.0,-90.5,
256,Dongsheng,CN,57.69,clear sky,39.8161,109.9776,Crowne Plaza Ordos
257,Alofi,NU,71.49,scattered clouds,-19.0595,-169.9187,Taloa Heights
258,Lompoc,US,58.68,mist,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
259,Oksfjord,NO,46.58,overcast clouds,70.2396,22.3479,
260,Vieste,IT,82.9,overcast clouds,41.8825,16.175,Hotel Falcone
261,Touros,BR,85.1,clear sky,-5.1989,-35.4608,INN NEW HORIZON
262,Naze,JP,78.66,overcast clouds,28.3667,129.4833,オーベルジュ・アガルイ
263,Puerto Maldonado,PE,77.4,broken clouds,-12.6,-69.1833,Wasai Hotel
264,Lac Du Bonnet,CA,53.08,overcast clouds,50.2536,-96.0612,Casey's Inn Motor Hotel
265,Novyy Urengoy,RU,42.15,overcast clouds,66.0833,76.6333,Apartments Moy Dom na Gubkina
266,Sitka,US,51.69,light rain,57.0531,-135.33,Westmark Sitka
267,Gondar,ET,58.78,light rain,12.6,37.4667,L Shape Hotel
268,Durban,ZA,60.93,moderate rain,-29.8579,31.0292,Hilton Durban
269,Pevek,RU,31.57,light snow,69.7008,170.3133,Hotel ABC
270,Golpayegan,IR,75.4,clear sky,33.4537,50.2884,Golpayegan Tourist Hotel
271,Muros,ES,77.16,clear sky,42.7762,-9.0603,Apartment Av. Castelao
272,Wahiawa,US,75.52,clear sky,21.5028,-158.0236,Aloha Wahiawa
273,Half Moon Bay,US,65.05,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
274,Djenne,ML,94.3,broken clouds,13.9061,-4.5533,Hôtel Chez Baba
275,Lofthus,NO,52.21,overcast clouds,59.9468,10.8018,Oslo Youth Hostel Haraldsheim
276,Sain Alto,MX,66.72,overcast clouds,23.5833,-103.25,Hotel Barraza
277,Hasaki,JP,66.6,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
278,Kargasok,RU,52.61,overcast clouds,59.0556,80.8572,Hotel Kargasok
279,Bhachau,IN,87.64,broken clouds,23.2833,70.35,Amrut Bagh Resort
280,Bulungu,CD,76.57,overcast clouds,-4.55,18.6,
281,Qaqortoq,GL,37.65,overcast clouds,60.7167,-46.0333,Hotel Qaqortoq
282,Kruisfontein,ZA,53.89,broken clouds,-34.0033,24.7314,Oyster Bay House Rental
283,Portland,US,58.89,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
284,Los Llanos De Aridane,ES,74.95,few clouds,28.6585,-17.9182,Valle Aridane
285,Dali,CN,62.8,overcast clouds,25.7,100.1833,Dali Travelling With Hostel
